,followers,genres,id,name,popularity
207,30981,['antiviral pop'],3CBAfv5IxPSyPNilBTX4tP,Teamheadkick,44
208,266875,"['k-pop', 'korean pop']",0il5ZP3xYOECtONJtZ38Ln,KYUHYUN,54
209,241,[],38aKknRSzI7luo0LJWDwDS,Dot N Life,39
210,17076,"['black metal', 'blackgaze', 'depressive black metal', 'italian black metal', 'italian doom metal', 'italian metal']",56sxMCmVq5a2AZlmz39YOW,Forgotten Tomb,25
211,53490,[],5G312D5mch8GZE501qpDIy,Johnny 2 Phones,55
212,211144,"['anthem worship', 'ccm', 'christian alternative rock', 'christian music', 'world worship', 'worship']",6j1fmLreVuAay7k6Gudfa2,Leeland,59
213,6927,"['classical', 'early modern classical', 'neoclassicism']",7MjAFDEchgyC28I0asclTE,Zoltán Kodály,34
214,1719,['deep metalcore'],1JOgPOmZrMUkpyAGAENWmg,The Hunting Project,30
215,42080,"['deep new americana', 'indie folk', 'new americana', 'stomp and holler']",17cssIaAwAcgC9nZZliixv,Joe Pug,39
216,20817,"['chill pop', 'chill r&b']",1e7K8jD3wRuQfnwDAOeGqe,Fiji Blue,58
217,1983349,"['atl hip hop', 'dance pop', 'dirty south rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",3ipn9JLAPI5GUEo4y4jcoi,Ludacris,78
218,233,[],3dk3ajqHMLFgCcCZOgiCXo,Bill Laswell and Tetsu Inoue,1
219,25,[],7KnsxDkw3XMYwgbxrCUkfB,Sad Monologue,43
220,3275,['bayerischer rap'],3Hg4YYMKR6fMvkBj6SBuPo,Liquid,32
221,1010,['swiss techno'],03wBbT5tqttIBpmUrNa9ur,Vanita,29
222,22066,['k-rap'],0Ch0t9gI47Lkal71uQnmV3,JUSTHIS,52
223,4892,['modern old-time'],79ScU9PMzW9i0jw67b5kVb,Dom Flemons,32
224,196184,"['hip hop', 'indie soul', 'neo soul', 'urban contemporary']",4jCbgl5Dmt3uOh8WRQfpPs,Bilal,58
225,41334,"['brutal death metal', 'death metal', 'deathgrind', 'grindcore', 'technical death metal']",1kTUJy3zL57iEANLB9FpIA,Misery Index,34
226,6435,['british singer-songwriter'],3WtrH1zNpzoPSz6XpwCh6y,Delilah Montagu,53
227,2427,['brighton indie'],0L6tY7VDHwGDhx3T989SAJ,Thyla,24
228,4924,['swedish indie pop'],3Zdqisea5g5Gu6jcB7VLcJ,Popsicle,27
229,29767,"['progressive electro house', 'progressive house', 'swedish electronic', 'tech house']",5vdjF79d5d2m12FOkJhxHB,Jeremy Olander,45
230,982967,"['k-pop', 'k-pop girl group']",0qlWcS66ohOIi0M8JZwPft,GFRIEND,70
231,3869,"['big band', 'vintage jazz']",0tIS1GWwrWqr4DHK0RLg5u,Paul Whiteman & His Orchestra,26
232,29042,"['finnish metal', 'suomi rock']",2LBteY4vnSD2zKwAgzOijB,Mokoma,46
233,126651,"['big room', 'dance pop', 'deep tropical house', 'edm', 'electro house', 'house', 'pop dance', 'pop edm', 'tropical house']",0DdDnziut7wOo6cAYWVZC5,KREAM,65
234,510,['nigerian pop'],6WgNboUpl48GJJuQxdUqrM,Richie Benson,24
235,1386,"['country blues', 'harmonica blues', 'traditional country']",3bE11yTlWRtZxf6koQcfx4,Deford Bailey,17
236,2692,['21st century classical'],1zLIRG57NYJF3ckNxrQLzp,Dobrinka Tabakova,26
237,178638,['k-pop'],6bwp9ObI8FWvMPCIWVBmhl,Red Velvet - IRENE & SEULGI,63
238,476178,"['indie cafe pop', 'pop']",0hDjKSKjl1DC7ovYTDJHe8,Bruno Major,69
239,1407,[],45nVGQ6yYctA4eKMTj5YPw,Peter The Human Boy,27
240,19620,"['melodic techno', 'organic house', 'tech house']",3NUcxMYt10f6cx567crDk2,Rafael Cerato,42
241,201446,['san diego rap'],2hWs22BmQkK4czFtDLnar2,Rob $tone,64
242,1477,"['minneapolis metal', 'voidgrind']",0SAyfkoQF4Z2pZtB7pon2c,Inexorum,15
243,492980,"['boy band', 'hip pop', 'new jack swing', 'quiet storm', 'r&b', 'urban contemporary']",72y3ZI95ctkQC2O4mjBaU3,Shai,50
244,37454,"['electro house', 'electronic trap']",6Se1y4vDcu9fVHLqdj1N3q,Wuki,53
